mouse,geno,cond,dur_s,start_s,src_file
mouse?,GENO?,unknown,178,7431,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,57,7476,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,31,7505,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,48,7546,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,100,7571,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,69,7603,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,34,7664,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,67,7701,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,46,7726,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,33,7772,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,57,7896,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,61,7923,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,181,7927,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,90,7998,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,137,7999,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,49,8006,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,40,8052,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,87,8057,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,91,8063,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,235,8116,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,56,8217,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,191,8266,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,52,8277,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,204,8279,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,46,8374,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,142,8479,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,50,8494,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,53,8500,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,9,8542,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,93,8712,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,40,8725,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,34,8739,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,60,8756,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,23,8798,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,59,8820,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,81,8856,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,80,8884,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,173,8885,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,44,8953,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,36,9023,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,92,9068,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,64,9068,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,43,9090,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,116,9127,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,55,9137,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,21,9165,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,19,9208,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,184,9212,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,56,9236,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,72,9238,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,56,9284,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,172,9382,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,32,9398,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,41,9409,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,90,9439,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,225,9459,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,223,9475,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,74,9494,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,123,9550,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,251,9561,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,83,9605,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,31,9647,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,43,9694,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,58,9704,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,63,9740,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,71,9770,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,55,9797,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,58,9871,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,64,9954,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,71,10258,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,126,10277,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,72,10326,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,38,10331,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,86,10358,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,163,10382,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,55,10496,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,90,10519,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,67,10536,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,111,10554,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,70,10562,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,119,10567,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,79,10615,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,66,10774,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,162,10790,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,63,10815,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,234,10835,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,55,10860,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,24,10899,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,38,10904,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,120,10947,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,131,11023,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,117,11032,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,37,11035,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,169,11065,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,61,11134,20251024_drugs_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,57,11136,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,121,11137,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,35,11213,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,84,11240,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,32,11248,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,39,11282,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,234,11371,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,140,11421,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,47,11486,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,96,11490,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,175,11590,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,103,11644,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,197,11691,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,75,11699,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,187,11719,20251024_drugs_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,113,11728,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,123,11820,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,66,11909,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,61,11952,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,39,11985,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,67,12097,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,39,12129,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,188,12177,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,58,12207,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,15,12231,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,51,12288,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,102,12323,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,78,12343,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,143,12384,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,105,12387,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,68,12393,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,132,12444,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,143,12454,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,98,12494,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,69,12507,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,47,12521,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,68,12587,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,112,12608,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,30,12680,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,54,12723,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,85,12724,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,136,12735,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,172,12744,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
