hour_idx,hour_start_s,dur_s,bouts_per_h,mean_bout_dur_s,state,file,date,condition,mouse,genotype
4,14400,35,3,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,89,8,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,85,7,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
7,25200,39,3,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,0,0,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,1244,8,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
1,3600,1165,6,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
2,7200,1156,6,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
3,10800,1819,7,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
4,14400,1034,8,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
5,18000,1670,8,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
6,21600,1040,6,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
7,25200,968,7,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
8,28800,670,5,NaN,WK,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
0,0,1853,23,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
1,3600,1972,31,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
2,7200,2011,27,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
3,10800,1501,22,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
4,14400,1898,34,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
5,18000,1715,31,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
6,21600,1789,44,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
7,25200,2048,34,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
8,28800,1059,17,NaN,NREM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
0,0,396,6,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
1,3600,283,3,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
2,7200,261,4,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
3,10800,195,2,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
4,14400,525,7,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
5,18000,96,2,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
6,21600,563,7,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
7,25200,404,5,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
8,28800,384,3,NaN,REM,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
