MouseID,Genotype,Condition,State,Band,Power_dB
mouse3,APP,drugs,NREM,Beta,-91.8851044184624
mouse3,APP,drugs,NREM,lGamma1,-96.2566496956057
mouse3,APP,drugs,NREM,lGamma2,-103.780131922787
mouse3,APP,drugs,NREM,hGamma,-100.957496620912
mouse3,APP,drugs,REM,Delta,-92.7189161894132
mouse3,APP,drugs,REM,Theta,-87.8185073078176
mouse3,APP,drugs,REM,Sigma,-94.157920413525
mouse3,APP,drugs,REM,Beta,-92.5493924672048
mouse3,APP,drugs,REM,lGamma1,-95.9912005465484
mouse3,APP,drugs,REM,lGamma2,-102.224261223374
mouse3,APP,drugs,REM,hGamma,-100.013971264043
mouse10,APP,drugs,Wake,Delta,-89.9237938598953
mouse10,APP,drugs,Wake,Theta,-90.2857764995683
mouse10,APP,drugs,Wake,Sigma,-94.587210059258
mouse10,APP,drugs,Wake,Beta,-93.09161993687
mouse10,APP,drugs,Wake,lGamma1,-95.6981404429201
mouse10,APP,drugs,Wake,lGamma2,-101.852325155562
mouse10,APP,drugs,Wake,hGamma,-98.03346019886
mouse10,APP,drugs,NREM,Delta,-85.4131614710146
mouse10,APP,drugs,NREM,Theta,-88.5034240911444
mouse10,APP,drugs,NREM,Sigma,-92.088841980921
mouse10,APP,drugs,NREM,Beta,-91.857627821262
mouse10,APP,drugs,NREM,lGamma1,-96.4000609598698
mouse10,APP,drugs,NREM,lGamma2,-103.318648850435
mouse10,APP,drugs,NREM,hGamma,-100.222217679252
mouse10,APP,drugs,REM,Delta,-89.7138508141987
mouse10,APP,drugs,REM,Theta,-86.7446003107451
mouse10,APP,drugs,REM,Sigma,-93.6406573369775
mouse10,APP,drugs,REM,Beta,-92.3895103125147
mouse10,APP,drugs,REM,lGamma1,-96.094356804192
mouse10,APP,drugs,REM,lGamma2,-102.464185062925
mouse10,APP,drugs,REM,hGamma,-99.4170677486167
mouse12,WT,ambtemp,Wake,Delta,-89.3798784606961
mouse12,WT,ambtemp,Wake,Theta,-91.7484140385543
mouse12,WT,ambtemp,Wake,Sigma,-95.4138028908777
mouse12,WT,ambtemp,Wake,Beta,-94.2712231135504
mouse12,WT,ambtemp,Wake,lGamma1,-97.028207414861
mouse12,WT,ambtemp,Wake,lGamma2,-102.243009116638
mouse12,WT,ambtemp,Wake,hGamma,-98.0564983331938
mouse12,WT,ambtemp,NREM,Delta,-88.2461103589987
mouse12,WT,ambtemp,NREM,Theta,-91.0172216999927
mouse12,WT,ambtemp,NREM,Sigma,-93.2884327339531
mouse12,WT,ambtemp,NREM,Beta,-93.1743024694298
mouse12,WT,ambtemp,NREM,lGamma1,-98.507891998135
mouse12,WT,ambtemp,NREM,lGamma2,-105.070264668412
mouse12,WT,ambtemp,NREM,hGamma,-101.003978648238
mouse12,WT,ambtemp,REM,Delta,-92.2001003345854
mouse12,WT,ambtemp,REM,Theta,-88.59202860501
mouse12,WT,ambtemp,REM,Sigma,-95.2420724787237
mouse12,WT,ambtemp,REM,Beta,-93.8908460636488
mouse12,WT,ambtemp,REM,lGamma1,-98.1335895649349
mouse12,WT,ambtemp,REM,lGamma2,-103.668764190561
mouse12,WT,ambtemp,REM,hGamma,-99.4799837583523
mouse12,WT,drugs,Wake,Delta,-89.3240951531075
mouse12,WT,drugs,Wake,Theta,-91.6095435589096
mouse12,WT,drugs,Wake,Sigma,-95.4720261217583
mouse12,WT,drugs,Wake,Beta,-94.3907043004931
mouse12,WT,drugs,Wake,lGamma1,-96.8571597792156
mouse12,WT,drugs,Wake,lGamma2,-102.057075887561
mouse12,WT,drugs,Wake,hGamma,-97.7827257208425
mouse12,WT,drugs,NREM,Delta,-88.0879883993555
mouse12,WT,drugs,NREM,Theta,-91.2318760841469
mouse12,WT,drugs,NREM,Sigma,-93.3303349486698
mouse12,WT,drugs,NREM,Beta,-93.1948622547277
mouse12,WT,drugs,NREM,lGamma1,-98.3122676657171
mouse12,WT,drugs,NREM,lGamma2,-104.806344630398
mouse12,WT,drugs,NREM,hGamma,-100.724848920646
mouse12,WT,drugs,REM,Delta,-92.5857542588811
mouse12,WT,drugs,REM,Theta,-88.5545908655361
mouse12,WT,drugs,REM,Sigma,-94.9165224587539
mouse12,WT,drugs,REM,Beta,-93.7581614316028
mouse12,WT,drugs,REM,lGamma1,-97.971211325173
mouse12,WT,drugs,REM,lGamma2,-103.539908380367
mouse12,WT,drugs,REM,hGamma,-99.5924721996251
